"Subject","Experiment","Group","Age","Gender","Running","Condition","Cycle","Sample","Cue","Target","Acc","Resp","RT"
11,"TPL2","5","27","female","Study",NA,"1","10","descry","discover",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","11","picaroon","cheat",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","12","limpid","clear",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","13","stentorian","loud",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","14","lassitude","tiredness",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","15","plangent","noisy",NA,NA,NA
11,"TPL2","5","27","female","Recall","Study","2","16","plangent","noisy","0","pregnant","6423"
11,"TPL2","5","27","female","Recall","Study","2","17","blandish","flatter","0","blend","6262"
11,"TPL2","5","27","female","Recall","Study","2","18","stentorian","loud","0","authoritive","8366"
11,"TPL2","5","27","female","Recall","Study","2","19","picaroon","cheat","0","peacan","8970"
11,"TPL2","5","27","female","Recall","Study","2","20","maunder","ramble","0","mond","4548"
11,"TPL2","5","27","female","Recall","Study","2","21","descry","discover","0","desire","3811"
11,"TPL2","5","27","female","Recall","Study","2","22","imprecation","curse","0","implication","6319"
11,"TPL2","5","27","female","Recall","Study","2","23","frond","leaf","0","front","3246"
11,"TPL2","5","27","female","Recall","Study","2","24","lassitude","tiredness","0","attitude","4725"
11,"TPL2","5","27","female","Recall","Study","2","25","limpid","clear","0","lump","3846"
11,"TPL2","5","27","female","Recall","Study","2","26","inchoate","undeveloped","0","cooperate","7743"
11,"TPL2","5","27","female","Recall","Study","2","27","immolate","sacrifice","0","wonderful","5568"
11,"TPL2","5","27","female","Recall","Study","2","28","encomium","tribute","0","difficult","6932"
11,"TPL2","5","27","female","Recall","Study","2","29","superate","overcome","0","rate","4809"
11,"TPL2","5","27","female","Recall","Study","2","30","roil","billow","0","foil","2451"
11,"TPL2","5","27","female","PracticeMeaning",NA,"1","1","tantivy","quick","0","tantrum","6689"
11,"TPL2","5","27","female","PracticeMeaning",NA,"1","2","desman","mole","0","desk","5779"
11,"TPL2","5","27","female","PracticeMeaning",NA,"1","3","achene","fruit","0","pain","8399"
11,"TPL2","5","27","female","Meaning",NA,"1","1","stolid","unemotional","0","stole","8213"
11,"TPL2","5","27","female","Meaning",NA,"1","2","subduce","withdraw","0","suduce","5227"
11,"TPL2","5","27","female","Meaning",NA,"1","3","everse","overthrow","0","reverse","4618"
11,"TPL2","5","27","female","Meaning",NA,"1","4","opprobrium","disgrace","0","opposite","6302"
11,"TPL2","5","27","female","Meaning",NA,"1","5","interstice","space","0","intership","6350"
11,"TPL2","5","27","female","Meaning",NA,"1","6","subsecive","spare","0","sub","5830"
11,"TPL2","5","27","female","Meaning",NA,"1","7","objurgate","rebuke","0","observation","6872"
11,"TPL2","5","27","female","Meaning",NA,"1","8","slake","quench","0","snake","3994"
11,"TPL2","5","27","female","Meaning",NA,"1","9","spoliate","plunder","0","spoil","4379"
11,"TPL2","5","27","female","Meaning",NA,"1","10","roke","mist","0","rock","3949"
11,"TPL2","5","27","female","Meaning",NA,"1","11","succursal","branch","0","success","6479"
11,"TPL2","5","27","female","Meaning",NA,"1","12","minatory","threatening","0","minor","3410"
11,"TPL2","5","27","female","Meaning",NA,"1","13","stanchion","support","0","stich","7508"
11,"TPL2","5","27","female","Meaning",NA,"1","14","inimical","hostile","0","mimic","8183"
11,"TPL2","5","27","female","Meaning",NA,"1","15","effulgent","shining","0","indulge","7256"
11,"TPL2","5","27","female","Recall","Meaning","3","31","subduce","withdraw","0","wonderful","6244"
11,"TPL2","5","27","female","Recall","Meaning","3","32","opprobrium","disgrace","0","opposite","3650"
11,"TPL2","5","27","female","Recall","Meaning","3","33","inimical","hostile","0","mimic","2469"
11,"TPL2","5","27","female","Recall","Meaning","3","34","minatory","threatening","0","minor","2642"
11,"TPL2","5","27","female","Recall","Meaning","3","35","everse","overthrow","0","reverse","3699"
11,"TPL2","5","27","female","Recall","Meaning","3","36","subsecive","spare","0","sub","2063"
11,"TPL2","5","27","female","Recall","Meaning","3","37","stanchion","support","0","stich","2112"
11,"TPL2","5","27","female","Recall","Meaning","3","38","roke","mist","1","mist","2102"
11,"TPL2","5","27","female","Recall","Meaning","3","39","succursal","branch","0","success","2582"
